fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220910 200948	-0.126148659910541	3960	873	19	5	17350000	1
20220910 201030	-0.908482363440271	6511	3208	10	5	15714000	2
20220910 201110	-0.570709971107135	5695	1561	8	5	16736000	3
20220910 201132	0.0465205607673853	4258	1820	13	5	0	4
20220910 201203	-0.769574303913396	7111	671	4	5	15648000	5
20220910 201256	-0.856093911250355	7822	386	18	5	15540000	6
20220910 201318	0.0203807658064763	6045	56	7	5	0	7
20220910 201404	-0.327436462437941	5775	1743	18	5	16736000	8
20220910 201449	-0.401259743127351	5142	2329	15	5	16736000	9
20220910 201529	-0.0997675493618265	7359	3115	8	5	15772000	10
20220910 201601	-0.539828867462671	3447	376	5	5	17280000	11
20220910 201642	-0.750027490425337	7057	710	9	5	15648000	12
20220910 201712	-0.945605345314834	5490	707	4	5	16736000	13
20220910 201735	0.0918030132248533	7394	3526	9	5	0	14
20220910 201806	-0.458677079668269	4098	1627	4	5	16984000	15
20220910 201854	-0.879701600852422	4161	664	12	5	17350000	16
20220910 201940	-0.182799060183398	5449	2716	19	5	16860000	17
20220910 202030	-0.231877824117787	2792	713	12	5	17662000	18
20220910 202129	-0.164898858013843	1025	509	20	5	18794000	19
20220910 202246	-0.354367318414799	15	7	20	5	8454000	20
20220910 202320	-0.162112476877413	2216	1104	5	5	17914000	21
20220910 202349	-0.300859288601405	7999	3195	3	5	15552000	22
20220910 202442	-0.194236530928826	7997	126	14	5	15406000	23
20220910 202530	-0.49219561118565	7997	1400	16	5	15648000	24
20220910 202601	-0.663325470631831	1143	563	3	5	15610000	25
20220910 202703	-0.142699083462981	66	28	14	5	15428000	26
20220910 202753	-0.171714710518412	2370	1185	20	5	17768000	27
20220910 202824	-0.226980617644354	4665	2071	3	5	15610000	28
20220910 202946	-0.930999740544256	13	6	20	5	7976000	29
20220910 203015	-0.86423540468805	4819	1133	3	5	15610000	30
20220910 203059	-0.321161823816832	7853	3925	13	5	15166000	31
20220910 203136	-0.393820900967936	7988	758	7	5	15648000	32
20220910 203219	-0.893335971430979	7995	8	9	5	15384000	33
20220910 203315	-0.242478635808706	5302	386	20	5	16628000	34
20220910 203403	-0.80436811144239	4090	2038	13	5	17044000	35
20220910 203447	-0.293928398062169	4751	1372	9	5	16736000	36
20220910 203536	-0.999999117958012	6187	1765	14	5	16736000	37
20220910 203639	-0.164148446935567	1959	601	18	5	19360000	38
20220910 203727	-0.65308928903845	6248	3124	20	5	16856000	39
20220910 203805	-0.523073202342716	6413	3204	5	5	15714000	40
20220910 203849	-0.793513632285701	8000	3994	20	5	15166000	41
20220910 203947	-0.162514059189238	1530	732	16	5	18828000	42
20220910 204045	-0.168345523225095	3011	534	18	5	17708000	43
20220910 204145	-0.130863034407422	1747	495	20	5	19630000	44
20220910 204230	-0.145638589662376	7996	2366	20	5	15648000	45
20220910 204259	-0.24498468535277	1794	435	3	5	15610000	46
20220910 204355	-0.658587731116562	3825	666	19	5	17350000	47
20220910 204426	-0.668818738072453	4159	5	3	5	15610000	48
